"trip_id","service_id","trip_pattern_id","abbreviation","description","from_stop_id","from_stop_sequence","to_stop_id","to_stop_sequence"
"L_talvi_2024-2025_902_0_164000_172900_1","L talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"L_talvi_2024-2025_902_0_174000_182900_1","L talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"L_talvi_2024-2025_902_0_184000_192900_1","L talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"L_talvi_2025-2026_902_0_084000_092900_0","L talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"L_talvi_2025-2026_902_0_094000_102900_0","L talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"L_talvi_2025-2026_902_0_104000_112900_0","L talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"L_talvi_2025-2026_902_0_114000_122900_0","L talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"L_talvi_2025-2026_902_0_124000_132900_0","L talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"L_talvi_2025-2026_902_0_134000_142900_0","L talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"L_talvi_2025-2026_902_0_144000_152900_0","L talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"L_talvi_2025-2026_902_0_154000_162900_0","L talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_085500_094400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_095500_104400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_102500_111400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_105500_114400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_112500_121400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_115500_124400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_122500_131400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_125500_134400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_132500_141400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_135500_144400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_142500_151400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_145500_154400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_152500_161400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_155500_164400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_162500_171400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_165500_174400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_172500_181400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_175500_184400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_182500_191400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_185500_194400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
"M-P_ei_koulp_talvi_2024-2025_902_0_192500_201400_1","M-P ei koulp talvi 2025-2026","","*","Kyllön kautta","207456","","207391","48"
